t,hand,raw_x,raw_y,x,y,pinch_ratio,pinched,vision_ms,latency_ms,filter,anchor
216655.4348,0,1512.00,0.00,1512.00,0.00,,0,8.04,67.96,1,fingertip
216655.4682,0,1512.00,0.00,1512.00,0.00,,0,22.07,81.87,1,fingertip
216655.5015,0,1512.00,0.00,1512.00,0.00,,0,13.91,72.49,1,fingertip
216655.5349,0,1512.00,0.00,1512.00,0.00,,0,25.36,83.29,1,fingertip
216655.5682,0,1512.00,0.00,1512.00,0.00,,0,20.86,77.59,1,fingertip
216655.6016,0,1512.00,0.00,1512.00,0.00,,0,17.47,74.11,1,fingertip
216655.6349,0,1512.00,0.00,1512.00,0.00,,0,22.18,77.36,1,fingertip
216655.6683,0,1512.00,0.00,1512.00,0.00,,0,19.90,74.47,1,fingertip
216655.7016,0,1512.00,0.00,1512.00,0.00,,0,23.87,77.51,1,fingertip
216655.7350,0,1512.00,0.00,1512.00,0.00,,0,21.88,74.65,1,fingertip
216655.7683,0,1512.00,0.00,1512.00,0.00,,0,26.24,77.65,1,fingertip
216655.8017,0,1512.00,0.00,1512.00,0.00,,0,29.49,79.88,1,fingertip
216655.8350,0,1512.00,0.00,1512.00,0.00,,0,17.33,71.75,1,fingertip
216655.8684,0,1512.00,0.00,1512.00,0.00,,0,13.67,88.16,1,fingertip
216655.9017,0,1512.00,0.00,1512.00,0.00,,0,13.93,87.13,1,fingertip
216655.9351,0,1512.00,0.00,1512.00,0.00,,0,12.31,85.88,1,fingertip
216655.9684,0,1512.00,0.00,1512.00,0.00,,0,14.40,88.08,1,fingertip
216656.0018,0,1512.00,0.00,1512.00,0.00,,0,15.77,85.11,1,fingertip
216656.0351,0,1512.00,0.00,1512.00,0.00,,0,13.05,84.62,1,fingertip
216656.0685,0,1512.00,0.00,1512.00,0.00,,0,12.68,79.09,1,fingertip
216656.1018,0,1512.00,0.00,1512.00,0.00,,0,12.58,84.74,1,fingertip
216656.1352,0,1512.00,0.00,1512.00,0.00,,0,21.82,98.37,1,fingertip
216656.1685,0,1512.00,0.00,1512.00,0.00,,0,12.62,85.67,1,fingertip
216656.2019,0,1512.00,0.00,1512.00,0.00,,0,14.53,88.75,1,fingertip
216656.2352,0,1512.00,0.00,1512.00,0.00,,0,13.95,88.52,1,fingertip
216656.2686,0,1512.00,0.00,1512.00,0.00,,0,12.55,82.48,1,fingertip
216656.3019,0,1512.00,0.00,1512.00,0.00,,0,12.13,84.92,1,fingertip
216656.3353,0,1512.00,0.00,1512.00,0.00,,0,12.69,82.48,1,fingertip
216656.3686,0,1512.00,0.00,1512.00,0.00,,0,11.76,82.95,1,fingertip
216656.4020,0,1512.00,0.00,1512.00,0.00,,0,18.75,87.90,1,fingertip
216656.4353,0,1512.00,0.00,1512.00,0.00,,0,18.12,91.15,1,fingertip
216656.4687,0,1512.00,0.00,1512.00,0.00,,0,15.29,87.89,1,fingertip
216656.5020,0,1512.00,0.00,1512.00,0.00,,0,14.25,90.82,1,fingertip
216656.5354,0,1512.00,0.00,1512.00,0.00,,0,27.27,105.54,1,fingertip
216656.5687,0,1512.00,0.00,1512.00,0.00,,0,11.15,90.02,1,fingertip
216656.6021,0,1512.00,0.00,1512.00,0.00,,0,9.59,88.73,1,fingertip
216656.6354,0,1512.00,0.00,1512.00,0.00,,0,12.91,85.62,1,fingertip
216656.6688,0,1512.00,0.00,1512.00,0.00,,0,13.21,86.27,1,fingertip
216656.7021,0,1512.00,0.00,1512.00,0.00,,0,14.91,86.96,1,fingertip
216656.7355,0,1512.00,0.00,1512.00,0.00,,0,16.02,89.84,1,fingertip
216656.7688,0,1512.00,0.00,1512.00,0.00,,0,13.40,83.33,1,fingertip
216656.8022,0,1512.00,0.00,1512.00,0.00,,0,11.77,80.91,1,fingertip
216656.8355,0,1512.00,0.00,1512.00,0.00,,0,13.98,83.75,1,fingertip
216656.8689,0,1512.00,0.00,1512.00,0.00,,0,13.48,83.04,1,fingertip
216656.9022,0,1512.00,0.00,1512.00,0.00,,0,15.93,86.55,1,fingertip
216656.9356,0,1512.00,0.00,1512.00,0.00,,0,8.75,75.36,1,fingertip
216656.9689,0,1512.00,0.00,1512.00,0.00,,0,12.47,79.40,1,fingertip
216657.0023,0,1512.00,0.00,1512.00,0.00,,0,14.45,78.82,1,fingertip
216657.0356,0,1512.00,0.00,1512.00,0.00,,0,14.92,77.34,1,fingertip
216657.0690,0,1512.00,0.00,1512.00,0.00,,0,12.59,77.20,1,fingertip
216657.1023,0,1512.00,0.00,1512.00,0.00,,0,13.91,74.92,1,fingertip
216657.1357,0,1512.00,0.00,1512.00,0.00,,0,16.00,76.16,1,fingertip
216657.1690,0,1512.00,0.00,1512.00,0.00,,0,12.44,73.75,1,fingertip
216657.2024,0,1512.00,0.00,1512.00,0.00,,0,18.89,76.20,1,fingertip
216657.2357,0,1512.00,0.00,1512.00,0.00,,0,16.01,74.21,1,fingertip
216657.2691,0,1512.00,0.00,1512.00,0.00,,0,23.84,79.11,1,fingertip
216657.3024,0,1512.00,0.00,1512.00,0.00,,0,16.79,71.33,1,fingertip
216657.3358,0,1512.00,0.00,1512.00,0.00,,0,30.18,83.99,1,fingertip
216657.3691,0,1512.00,0.00,1512.00,0.00,,0,19.47,135.31,1,fingertip
216657.4025,0,1512.00,0.00,1512.00,0.00,,0,24.65,144.17,1,fingertip
216657.4358,0,1512.00,0.00,1512.00,0.00,,0,27.74,141.94,1,fingertip
216657.4692,0,1512.00,0.00,1512.00,0.00,,0,13.38,131.62,1,fingertip
216657.5025,0,1512.00,0.00,1512.00,0.00,,0,25.23,141.59,1,fingertip
216657.5359,0,1512.00,0.00,1512.00,0.00,,0,15.20,136.47,1,fingertip
216657.5692,0,1512.00,0.00,1512.00,0.00,,0,31.63,145.90,1,fingertip
216657.6026,0,1512.00,0.00,1512.00,0.00,,0,34.30,152.29,1,fingertip
216657.6359,0,1512.00,0.00,1512.00,0.00,,0,18.51,137.66,1,fingertip
216657.6693,0,1512.00,0.00,1512.00,0.00,,0,28.48,147.51,1,fingertip
216657.7026,0,1512.00,0.00,1512.00,0.00,,0,28.86,146.71,1,fingertip
216657.7360,0,1512.00,0.00,1512.00,0.00,,0,33.75,153.26,1,fingertip
216657.7693,0,1512.00,0.00,1512.00,0.00,,0,15.48,135.59,1,fingertip
216657.8027,0,1512.00,0.00,1512.00,0.00,,0,25.68,147.00,1,fingertip
216657.8360,0,1512.00,0.00,1512.00,0.00,,0,27.71,147.70,1,fingertip
216657.8694,0,1512.00,0.00,1512.00,0.00,,0,15.48,134.71,1,fingertip
216657.9027,0,1512.00,0.00,1512.00,0.00,,0,21.59,145.28,1,fingertip
216657.9361,0,1512.00,0.00,1512.00,0.00,,0,28.07,147.10,1,fingertip
216657.9694,0,1512.00,0.00,1512.00,0.00,,0,20.26,142.60,1,fingertip
216658.0028,0,1512.00,0.00,1512.00,0.00,,0,34.72,153.92,1,fingertip
216658.0361,0,1512.00,0.00,1512.00,0.00,,0,20.41,141.44,1,fingertip
216658.0695,0,1512.00,0.00,1512.00,0.00,,0,25.02,144.32,1,fingertip
216658.1028,0,1512.00,0.00,1512.00,0.00,,0,34.77,161.11,1,fingertip
216658.1362,1,1480.91,982.00,1480.91,982.00,1.057,0,19.73,147.68,1,fingertip
216658.1695,0,1480.91,982.00,1480.91,982.00,,0,30.93,150.00,1,fingertip
216658.2029,0,1480.91,982.00,1480.91,982.00,,0,38.01,157.02,1,fingertip
216658.2362,1,1489.21,982.00,1485.76,982.00,1.201,0,17.40,141.27,1,fingertip
216658.2696,0,1485.76,982.00,1485.76,982.00,,0,27.75,148.30,1,fingertip
216658.3029,0,1485.76,982.00,1485.76,982.00,,0,26.41,143.20,1,fingertip
216658.3363,0,1485.76,982.00,1485.76,982.00,,0,28.33,145.78,1,fingertip
216658.3696,0,1485.76,982.00,1485.76,982.00,,0,23.84,142.89,1,fingertip
216658.4030,0,1485.76,982.00,1485.76,982.00,,0,29.07,144.04,1,fingertip
216658.4363,0,1485.76,982.00,1485.76,982.00,,0,27.36,146.66,1,fingertip
216658.4697,0,1485.76,982.00,1485.76,982.00,,0,31.59,148.32,1,fingertip
216658.5030,0,1485.76,982.00,1485.76,982.00,,0,36.72,157.61,1,fingertip
216658.5364,0,1485.76,982.00,1485.76,982.00,,0,12.43,136.79,1,fingertip
216658.5697,0,1485.76,982.00,1485.76,982.00,,0,28.92,150.89,1,fingertip
216658.6031,0,1485.76,982.00,1485.76,982.00,,0,22.02,141.33,1,fingertip
216658.6364,0,1485.76,982.00,1485.76,982.00,,0,27.12,150.11,1,fingertip
216658.6698,0,1485.76,982.00,1485.76,982.00,,0,17.77,136.90,1,fingertip
216658.7031,0,1485.76,982.00,1485.76,982.00,,0,30.97,151.48,1,fingertip
216658.7365,0,1485.76,982.00,1485.76,982.00,,0,22.33,141.47,1,fingertip
216658.7698,0,1485.76,982.00,1485.76,982.00,,0,34.66,157.12,1,fingertip
216658.8032,0,1485.76,982.00,1485.76,982.00,,0,25.50,149.49,1,fingertip
216658.8365,0,1485.76,982.00,1485.76,982.00,,0,38.36,156.87,1,fingertip
216658.8699,0,1485.76,982.00,1485.76,982.00,,0,18.38,142.11,1,fingertip
216658.9032,0,1485.76,982.00,1485.76,982.00,,0,36.12,156.02,1,fingertip
216658.9366,0,1485.76,982.00,1485.76,982.00,,0,20.06,142.97,1,fingertip
216658.9699,0,1485.76,982.00,1485.76,982.00,,0,38.89,158.62,1,fingertip
216659.0033,0,1485.76,982.00,1485.76,982.00,,0,17.34,142.83,1,fingertip
216659.0366,0,1485.76,982.00,1485.76,982.00,,0,38.76,156.97,1,fingertip
216659.0700,0,1485.76,982.00,1485.76,982.00,,0,19.72,143.73,1,fingertip
216659.1033,0,1485.76,982.00,1485.76,982.00,,0,31.86,152.94,1,fingertip
216659.1367,0,1485.76,982.00,1485.76,982.00,,0,25.22,144.99,1,fingertip
216659.1700,0,1485.76,982.00,1485.76,982.00,,0,37.08,155.60,1,fingertip
216659.2034,0,1485.76,982.00,1485.76,982.00,,0,20.30,142.66,1,fingertip
216659.2367,0,1485.76,982.00,1485.76,982.00,,0,33.73,154.76,1,fingertip
216659.2701,0,1485.76,982.00,1485.76,982.00,,0,31.23,152.84,1,fingertip
216659.3034,0,1485.76,982.00,1485.76,982.00,,0,25.87,146.28,1,fingertip
216659.3368,0,1485.76,982.00,1485.76,982.00,,0,30.14,149.63,1,fingertip
216659.3701,0,1485.76,982.00,1485.76,982.00,,0,29.17,151.90,1,fingertip
216659.4035,0,1485.76,982.00,1485.76,982.00,,0,32.25,152.60,1,fingertip
216659.4368,0,1485.76,982.00,1485.76,982.00,,0,32.54,153.29,1,fingertip
216659.4702,1,181.06,982.00,181.06,982.00,0.618,0,31.72,154.15,1,fingertip
216659.5035,0,181.06,982.00,181.06,982.00,,0,24.38,145.45,1,fingertip
216659.5369,0,181.06,982.00,181.06,982.00,,0,31.33,157.92,1,fingertip
216659.5702,0,181.06,982.00,181.06,982.00,,0,19.23,144.01,1,fingertip
216659.6036,1,88.29,982.00,97.06,982.00,1.176,0,33.25,153.05,1,fingertip
216659.6369,0,97.06,982.00,97.06,982.00,,0,24.41,144.32,1,fingertip
216659.6703,0,97.06,982.00,97.06,982.00,,0,30.32,153.89,1,fingertip
216659.7036,0,97.06,982.00,97.06,982.00,,0,34.14,154.87,1,fingertip
216659.7370,0,97.06,982.00,97.06,982.00,,0,34.99,157.71,1,fingertip
216659.7703,0,97.06,982.00,97.06,982.00,,0,20.28,144.85,1,fingertip
216659.8037,0,97.06,982.00,97.06,982.00,,0,32.66,153.99,1,fingertip
216659.8370,0,97.06,982.00,97.06,982.00,,0,24.05,144.88,1,fingertip
216659.8704,0,97.06,982.00,97.06,982.00,,0,34.04,154.49,1,fingertip
216659.9037,0,97.06,982.00,97.06,982.00,,0,23.06,144.41,1,fingertip
216659.9371,0,97.06,982.00,97.06,982.00,,0,28.13,148.97,1,fingertip
216659.9704,1,658.47,982.00,658.47,982.00,0.223,0,37.75,156.11,1,fingertip
216660.0038,0,658.47,982.00,658.47,982.00,,0,12.75,135.62,1,fingertip
216660.0371,0,658.47,982.00,658.47,982.00,,0,28.53,145.55,1,fingertip
216660.0705,1,636.52,982.00,642.46,982.00,0.491,0,34.39,154.45,1,fingertip
216660.1038,0,642.46,982.00,642.46,982.00,,0,33.00,154.69,1,fingertip
216660.1372,0,642.46,982.00,642.46,982.00,,0,31.41,153.74,1,fingertip
216660.1705,0,642.46,982.00,642.46,982.00,,0,26.95,147.53,1,fingertip
216660.2039,0,642.46,982.00,642.46,982.00,,0,26.38,149.34,1,fingertip
216660.2372,0,642.46,982.00,642.46,982.00,,0,16.37,137.99,1,fingertip
216660.2706,0,642.46,982.00,642.46,982.00,,0,18.40,142.49,1,fingertip
216660.3039,0,642.46,982.00,642.46,982.00,,0,24.34,146.39,1,fingertip
216660.3373,0,642.46,982.00,642.46,982.00,,0,19.42,142.08,1,fingertip
216660.3706,0,642.46,982.00,642.46,982.00,,0,19.65,143.87,1,fingertip
216660.4040,0,642.46,982.00,642.46,982.00,,0,19.58,140.58,1,fingertip
216660.4373,0,642.46,982.00,642.46,982.00,,0,17.55,144.09,1,fingertip
216660.4707,0,642.46,982.00,642.46,982.00,,0,17.77,140.58,1,fingertip
216660.5040,0,642.46,982.00,642.46,982.00,,0,17.10,143.84,1,fingertip
216660.5374,0,642.46,982.00,642.46,982.00,,0,23.40,146.62,1,fingertip
216660.5707,0,642.46,982.00,642.46,982.00,,0,24.82,148.82,1,fingertip
216660.6041,0,642.46,982.00,642.46,982.00,,0,19.22,143.18,1,fingertip
216660.6374,0,642.46,982.00,642.46,982.00,,0,21.45,148.17,1,fingertip
216660.6708,0,642.46,982.00,642.46,982.00,,0,9.45,135.36,1,fingertip
216660.7041,0,642.46,982.00,642.46,982.00,,0,28.19,156.44,1,fingertip
216660.7375,0,642.46,982.00,642.46,982.00,,0,9.84,135.21,1,fingertip
216660.7708,0,642.46,982.00,642.46,982.00,,0,25.26,152.63,1,fingertip
216660.8042,0,642.46,982.00,642.46,982.00,,0,18.01,144.16,1,fingertip
216660.8375,0,642.46,982.00,642.46,982.00,,0,23.83,153.09,1,fingertip
216660.8709,0,642.46,982.00,642.46,982.00,,0,21.98,148.63,1,fingertip
216660.9042,0,642.46,982.00,642.46,982.00,,0,21.20,151.34,1,fingertip
216660.9376,0,642.46,982.00,642.46,982.00,,0,23.52,149.52,1,fingertip
216660.9709,1,1512.00,982.00,1512.00,982.00,0.493,0,24.52,150.85,1,fingertip
216661.0043,1,1512.00,982.00,1512.00,982.00,0.661,0,21.97,148.07,1,fingertip
216661.0376,0,1512.00,982.00,1512.00,982.00,,0,20.72,150.67,1,fingertip
216661.0710,1,1512.00,982.00,1512.00,982.00,0.824,0,20.69,149.38,1,fingertip
216661.1043,1,1512.00,982.00,1512.00,982.00,0.776,0,19.39,151.44,1,fingertip
216661.1377,0,1512.00,982.00,1512.00,982.00,,0,18.74,147.73,1,fingertip
216661.1710,0,1512.00,982.00,1512.00,982.00,,0,24.49,155.02,1,fingertip
216661.2044,0,1512.00,982.00,1512.00,982.00,,0,13.75,144.19,1,fingertip
216661.2377,0,1512.00,982.00,1512.00,982.00,,0,18.30,154.01,1,fingertip
216661.2711,0,1512.00,982.00,1512.00,982.00,,0,21.91,150.70,1,fingertip
216661.3044,0,1512.00,982.00,1512.00,982.00,,0,8.98,140.80,1,fingertip
216661.3378,0,1512.00,982.00,1512.00,982.00,,0,16.87,146.64,1,fingertip
216661.3711,0,1512.00,982.00,1512.00,982.00,,0,9.14,141.05,1,fingertip
216661.4045,0,1512.00,982.00,1512.00,982.00,,0,13.79,142.80,1,fingertip
216661.4378,0,1512.00,982.00,1512.00,982.00,,0,23.16,152.42,1,fingertip
216661.4712,0,1512.00,982.00,1512.00,982.00,,0,12.40,142.94,1,fingertip
216661.5045,0,1512.00,982.00,1512.00,982.00,,0,23.42,148.18,1,fingertip
216661.5379,0,1512.00,982.00,1512.00,982.00,,0,10.73,136.04,1,fingertip
216661.5712,0,1512.00,982.00,1512.00,982.00,,0,21.62,148.76,1,fingertip
216661.6046,0,1512.00,982.00,1512.00,982.00,,0,12.17,136.12,1,fingertip
216661.6379,0,1512.00,982.00,1512.00,982.00,,0,23.50,149.17,1,fingertip
216661.6713,0,1512.00,982.00,1512.00,982.00,,0,9.19,134.94,1,fingertip
216661.7046,0,1512.00,982.00,1512.00,982.00,,0,27.70,149.97,1,fingertip
216661.7380,0,1512.00,982.00,1512.00,982.00,,0,10.33,135.79,1,fingertip
216661.7713,0,1512.00,982.00,1512.00,982.00,,0,27.03,153.88,1,fingertip
216661.8047,0,1512.00,982.00,1512.00,982.00,,0,14.07,138.52,1,fingertip
216661.8380,0,1512.00,982.00,1512.00,982.00,,0,29.81,156.34,1,fingertip
216661.8714,0,1512.00,982.00,1512.00,982.00,,0,21.92,146.13,1,fingertip
216661.9047,0,1512.00,982.00,1512.00,982.00,,0,30.21,157.67,1,fingertip
216661.9381,0,1512.00,982.00,1512.00,982.00,,0,20.80,145.99,1,fingertip
216661.9714,0,1512.00,982.00,1512.00,982.00,,0,15.58,143.95,1,fingertip
