t,hand,raw_x,raw_y,x,y,pinch_ratio,pinched,vision_ms,latency_ms,filter,anchor,mode,cam_x,cam_y,sensitivity
218111.2474,0,756.00,491.00,756.00,491.00,,0,10.12,150.91,1,palm,direct,-1.0000,-1.0000,high
218111.2807,0,756.00,491.00,756.00,491.00,,0,22.66,140.31,1,palm,direct,-1.0000,-1.0000,high
218111.3141,0,756.00,491.00,756.00,491.00,,0,9.03,123.75,1,palm,direct,-1.0000,-1.0000,high
218111.3474,0,756.00,491.00,756.00,491.00,,0,40.43,153.23,1,palm,direct,-1.0000,-1.0000,high
218111.3808,0,756.00,491.00,756.00,491.00,,0,36.16,156.45,1,palm,direct,-1.0000,-1.0000,high
218111.4141,0,756.00,491.00,756.00,491.00,,0,12.25,135.68,1,palm,direct,-1.0000,-1.0000,high
218111.4475,0,756.00,491.00,756.00,491.00,,0,30.75,147.92,1,palm,direct,-1.0000,-1.0000,high
218111.4808,0,756.00,491.00,756.00,491.00,,0,21.88,138.21,1,palm,direct,-1.0000,-1.0000,high
218111.5142,0,756.00,491.00,756.00,491.00,,0,19.91,138.43,1,palm,direct,-1.0000,-1.0000,high
218111.5475,0,756.00,491.00,756.00,491.00,,0,12.73,131.95,1,palm,direct,-1.0000,-1.0000,high
218111.5809,0,756.00,491.00,756.00,491.00,,0,22.23,140.49,1,palm,direct,-1.0000,-1.0000,high
218111.6142,0,756.00,491.00,756.00,491.00,,0,12.15,126.21,1,palm,direct,-1.0000,-1.0000,high
218111.6476,0,756.00,491.00,756.00,491.00,,0,31.82,149.75,1,palm,direct,-1.0000,-1.0000,high
218111.6809,0,756.00,491.00,756.00,491.00,,0,24.32,141.10,1,palm,direct,-1.0000,-1.0000,high
218111.7143,0,756.00,491.00,756.00,491.00,,0,11.32,122.12,1,palm,direct,-1.0000,-1.0000,high
218111.7476,0,756.00,491.00,756.00,491.00,,0,30.20,142.14,1,palm,direct,-1.0000,-1.0000,high
218111.7810,0,756.00,491.00,756.00,491.00,,0,34.58,149.41,1,palm,direct,-1.0000,-1.0000,high
218111.8143,0,756.00,491.00,756.00,491.00,,0,9.01,125.28,1,palm,direct,-1.0000,-1.0000,high
218111.8477,0,756.00,491.00,756.00,491.00,,0,30.39,140.67,1,palm,direct,-1.0000,-1.0000,high
218111.8810,0,756.00,491.00,756.00,491.00,,0,9.64,121.22,1,palm,direct,-1.0000,-1.0000,high
218111.9144,0,756.00,491.00,756.00,491.00,,0,14.75,122.41,1,palm,direct,-1.0000,-1.0000,high
218111.9477,0,756.00,491.00,756.00,491.00,,0,28.02,139.43,1,palm,direct,-1.0000,-1.0000,high
218111.9811,0,756.00,491.00,756.00,491.00,,0,13.84,121.21,1,palm,direct,-1.0000,-1.0000,high
218112.0144,0,756.00,491.00,756.00,491.00,,0,40.53,151.38,1,palm,direct,-1.0000,-1.0000,high
218112.0478,0,756.00,491.00,756.00,491.00,,0,38.59,156.99,1,palm,direct,-1.0000,-1.0000,high
218112.0811,0,756.00,491.00,756.00,491.00,,0,16.66,140.64,1,palm,direct,-1.0000,-1.0000,high
218112.1145,0,756.00,491.00,756.00,491.00,,0,25.82,134.63,1,palm,direct,-1.0000,-1.0000,high
218112.1478,0,756.00,491.00,756.00,491.00,,0,14.91,126.20,1,palm,direct,-1.0000,-1.0000,high
218112.1812,0,756.00,491.00,756.00,491.00,,0,14.51,122.79,1,palm,direct,-1.0000,-1.0000,high
218112.2145,0,756.00,491.00,756.00,491.00,,0,36.21,148.43,1,palm,direct,-1.0000,-1.0000,high
218112.2479,0,756.00,491.00,756.00,491.00,,0,57.07,172.40,1,palm,direct,-1.0000,-1.0000,high
218112.2812,0,756.00,491.00,756.00,491.00,,0,12.12,151.40,1,palm,direct,-1.0000,-1.0000,high
218112.3146,0,756.00,491.00,756.00,491.00,,0,30.58,149.29,1,palm,direct,-1.0000,-1.0000,high
218112.3479,0,756.00,491.00,756.00,491.00,,0,31.80,147.89,1,palm,direct,-1.0000,-1.0000,high
218112.3813,0,756.00,491.00,756.00,491.00,,0,25.71,140.53,1,palm,direct,-1.0000,-1.0000,high
218112.4146,0,756.00,491.00,756.00,491.00,,0,13.29,120.74,1,palm,direct,-1.0000,-1.0000,high
218112.4480,0,756.00,491.00,756.00,491.00,,0,16.02,123.86,1,palm,direct,-1.0000,-1.0000,high
218112.4813,0,756.00,491.00,756.00,491.00,,0,11.80,117.73,1,palm,direct,-1.0000,-1.0000,high
218112.5147,0,756.00,491.00,756.00,491.00,,0,29.46,137.58,1,palm,direct,-1.0000,-1.0000,high
218112.5480,0,756.00,491.00,756.00,491.00,,0,16.79,126.85,1,palm,direct,-1.0000,-1.0000,high
218112.5814,0,756.00,491.00,756.00,491.00,,0,12.33,118.29,1,palm,direct,-1.0000,-1.0000,high
218112.6147,0,756.00,491.00,756.00,491.00,,0,14.74,120.33,1,palm,direct,-1.0000,-1.0000,high
218112.6481,0,756.00,491.00,756.00,491.00,,0,14.78,120.46,1,palm,direct,-1.0000,-1.0000,high
218112.6814,0,756.00,491.00,756.00,491.00,,0,48.04,153.43,1,palm,direct,-1.0000,-1.0000,high
218112.7148,0,756.00,491.00,756.00,491.00,,0,29.25,149.47,1,palm,direct,-1.0000,-1.0000,high
218112.7481,0,756.00,491.00,756.00,491.00,,0,32.42,148.96,1,palm,direct,-1.0000,-1.0000,high
218112.7815,0,756.00,491.00,756.00,491.00,,0,19.92,135.71,1,palm,direct,-1.0000,-1.0000,high
218112.8148,0,756.00,491.00,756.00,491.00,,0,31.91,139.98,1,palm,direct,-1.0000,-1.0000,high
218112.8482,0,756.00,491.00,756.00,491.00,,0,10.04,124.71,1,palm,direct,-1.0000,-1.0000,high
218112.8815,0,756.00,491.00,756.00,491.00,,0,15.04,123.39,1,palm,direct,-1.0000,-1.0000,high
218112.9149,0,756.00,491.00,756.00,491.00,,0,14.58,126.11,1,palm,direct,-1.0000,-1.0000,high
218112.9482,0,756.00,491.00,756.00,491.00,,0,27.27,136.29,1,palm,direct,-1.0000,-1.0000,high
218112.9816,0,756.00,491.00,756.00,491.00,,0,11.11,122.69,1,palm,direct,-1.0000,-1.0000,high
218113.0149,0,756.00,491.00,756.00,491.00,,0,12.28,120.59,1,palm,direct,-1.0000,-1.0000,high
218113.0483,0,756.00,491.00,756.00,491.00,,0,32.06,144.13,1,palm,direct,-1.0000,-1.0000,high
218113.0816,0,756.00,491.00,756.00,491.00,,0,40.78,154.39,1,palm,direct,-1.0000,-1.0000,high
218113.1150,0,756.00,491.00,756.00,491.00,,0,37.55,159.38,1,palm,direct,-1.0000,-1.0000,high
218113.1483,0,756.00,491.00,756.00,491.00,,0,23.23,149.38,1,palm,direct,-1.0000,-1.0000,high
218113.1817,0,756.00,491.00,756.00,491.00,,0,28.43,144.58,1,palm,direct,-1.0000,-1.0000,high
218113.2150,0,756.00,491.00,756.00,491.00,,0,11.40,122.87,1,palm,direct,-1.0000,-1.0000,high
